lat,long,alt,temp2m,humidity,precip,atm,wind,m.fapar,Campo_Rupestre,Cerrado_lato_sensu,Floresta_de_Terra_Firme,Floresta_Estacional_Semidecidual,Floresta_Ombrofila_Densa,Restinga,Savana_Estepica,Floresta_de_Igapo,Floresta_de_Varzea,Campo_de_Varzea,Campo_de_Altitude,Vegetacao_Sobre_Afloramentos_Rochosos,Savana_Amazonica,Campinarana,Campo_Limpo,Floresta_Estacional_Decidual,Floresta_Estacional_Perenifolia,Floresta_Ombrofila_Mista,Palmeiral,Manguezal
31,28,237.31,25.05,83.5,5.38,35.53,108.5,148.59,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
31,30,241.73,25.31,81.11,5.46,35.53,99.9,151.45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,37,282.48,24.99,80.15,5.8,35.53,97.72,130.02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
31,44,281.26,26.13,73.15,4.88,35.53,77.99,122.42,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
31,45,193.9,26.87,71.18,4.71,35.53,76.58,127.67,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1
31,50,304.12,25.68,71.25,4.71,35.53,84.39,91.35,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
31,58,393.41,26.58,55.73,2.33,35.53,89.69,94.73,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,61,407.28,26.98,56.17,1.79,35.53,93.58,70.3,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0
31,66,616.65,25.11,60.12,1.56,35.53,119.58,75.29,1,1,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,0,0
31,67,458.08,25.43,60.31,1.54,35.53,119.87,69.53,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,68,500.23,25.3,61.4,1.54,35.53,116.52,73.65,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0
31,70,339.8,24.94,66.7,1.84,35.53,114.68,78.41,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
31,72,198.5,25.54,70.34,2.37,35.53,113.82,92.56,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,73,72.81,25.77,72.74,2.86,35.53,108.95,99.68,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
